epoch,train_loss,val_loss,epoch_seconds,timestamp
290,-0.123596,0.305072,50.7,2026-08-07T01:39:40
291,-0.124863,0.191541,50.7,2026-08-07T01:40:30
292,-0.127829,0.370150,50.7,2026-08-07T01:41:21
293,-0.128266,0.342245,50.7,2026-08-07T01:42:12
294,-0.127186,0.418388,50.7,2026-08-07T01:43:02
295,-0.130503,0.622623,50.7,2026-08-07T01:43:53
296,-0.109173,0.970570,50.7,2026-08-07T01:44:44
297,-0.128566,0.287418,50.7,2026-08-07T01:45:35
298,-0.129225,0.927690,50.7,2026-08-07T01:46:25
299,-0.132153,0.462960,51.0,2026-08-07T01:47:16
